X,Y,Z,Object,SPARC,DAPI,CD20,CD3,Bcl6,CD138,CD163,CD11c,HLA-DR,CD4,CD25,FoxP3,CD8,CD68,DC-SIGN,Va7.2,CD45
4.21445283,482.9696855,0,4,0.741831831,122.795581,36.21984758,48.43860797,12.86064642,0,0,1.373605639,22.69499709,15.91763391,1.009389877,14.5459584,1.373605639,0,0,0.953312662,52.41204072
3.878874459,309.8366234,0,5,0,91.40047932,3.721936842,21.84944549,8.042097032,0,0,14.30814257,73.59980119,17.07635007,10.82945318,7.680863949,1.606264791,0,0,0,38.7675948
5.369315437,435.2881342,0,11,2.227547683,123.7577196,23.57709046,3.356518917,13.45836234,0,0,22.24215921,5.746314839,5.845704364,8.41977538,13.28899227,1.134175237,0.448711803,0,0.804072409,38.98887009
4.010634146,524.7478886,0,2,0,161.796868,16.51543466,180.415162,1.735065694,0,0,7.43848173,13.14764721,38.16126609,0,7.282502537,76.44393997,0,0,0,90.46295948
4.075783783,19.58928378,0,2,0,143.0434516,0.164398987,73.12369195,2.177898814,0,0,0.821994937,0.826094687,59.78548364,0,15.00484156,19.44708691,0,0,0,62.46058216
6.080207586,48.61728544,0,2,1.857175758,144.0454228,1.178652433,103.5251616,2.258715654,0,0,1.80042133,18.00404701,70.025587,5.88292295,14.96709631,9.316244692,0,0,0,79.35371432
3.503195531,517.5447821,0,16,0,113.6609926,15.80396669,115.803074,2.974754109,0,0,17.76066837,12.93386702,11.97390085,0,6.820933929,58.33528595,0.709079189,0,0,102.7295631
3.261186441,61.51006781,0,16,0,147.6052339,38.11256744,64.20880926,2.816416764,0,0,2.115319425,38.33936332,16.57877958,2.620001294,10.0355301,101.9186698,0,0,0,67.25249665
4.072478469,66.62857416,0,4,0,148.2178017,21.62268877,61.01729302,3.497093804,0,0,8.196743431,24.0471029,26.45624717,0,31.91285982,24.18766343,0,0,0,74.2373344
4.738081505,401.2118745,0,10,30.5422776,23.57865514,15.47695222,34.28366821,10.84400648,0,0,96.88190465,27.03863485,52.01208565,69.73660701,12.33683477,13.38271941,16.57348035,27.86133375,0.951817269,39.48135547
3.188545455,171.2842727,0,9,1.066003582,89.0807856,33.56608136,44.58393514,8.140806304,0,0,2.296241989,12.68230693,35.72241466,6.506989249,28.72835153,1.685499656,0,0,0,72.47773953
7.571294751,615.5678978,0,13,4.17710223,6.638624288,0.359452253,1.033750766,11.23036645,0,6.969458464,1.760949212,26.66107501,5.392033404,0,5.927897864,3.52590872,4.223085947,0.82033378,2.571455276,17.46528955
5.203521596,122.6729037,0,14,0.288195209,183.8315439,0.163027829,100.7679648,2.241262103,0,0,1.915143359,0.141186242,69.38270774,0,63.55331035,11.57110044,0,0,0,80.14550721
5.036617284,146.8911111,0,4,0.277777778,132.2130833,16.2430422,28.92577773,7.608474807,0,0,0.566557724,8.881420474,12.66398607,0.866025404,10.58300524,5.140014892,0,0.962250449,0,43.09954742
6.093878048,128.3437561,0,4,3.770876847,124.2811157,24.68138432,63.95813703,4.754971724,0,0,2.265865473,16.78568278,37.62977544,0.702781928,8.065849418,2.489000191,0,0,0,40.54337485
4.7925,174.0875625,0,5,0,87.44592079,41.56687007,39.48931818,7.55604063,0,0,2.351860965,6.451138465,27.77082552,10.91014436,35.90047005,1.325825215,0,0,0,68.79089693
6.533938567,442.342116,0,10,0.413096192,125.8068024,30.44841214,2.737677948,20.43887082,0,0,45.55621363,15.0227359,11.79460165,1.821374795,14.81132765,1.532358596,0.429302156,0,0,65.98422606
5.662666668,460.5200001,0,2,0,138.8610952,5.372508703,114.0059508,2.096274361,0,0,3.106860499,4.60964492,38.97688011,0,4.984011997,1.844927063,0,0,0,48.5482191
5.991232876,545.299452,0,7,1.73994174,73.08917428,15.4913144,19.04709376,12.47551026,0,0,1.025697224,55.83213588,19.26000896,1.332419778,15.41605639,4.02628351,0.222069963,0.906596828,2.3542442,49.41875857
5.842926316,626.5498387,0,8,4.474685131,29.94711713,0.529812943,26.95877294,5.25957773,0,0,2.258706352,3.338242,19.72948635,0,5.77562938,7.919551644,0,0,4.212554336,11.85645135
5.30748052,240.264,0,6,0.900937463,142.1778656,3.571168822,2.578633485,11.65410579,0,1.116581052,2.215646838,24.4135102,4.829562643,0,7.276541208,0.402911482,0,34.66247269,0,20.68816087
7.117815499,353.5244576,0,4,0,150.3238632,24.39114684,92.93594787,4.773079491,0,0,4.233280549,27.30232544,34.68875845,1.446461518,8.256608669,2.992610826,0,0,0,28.64842879
4.231020407,385.9849796,0,10,23.35528608,6.951728606,26.95839576,19.14712106,14.03203332,0,0,131.6048507,11.36500177,60.37569453,175.5609668,7.335961187,6.2040145,68.70418696,2.474358297,0,126.1219041
6.759021943,424.561304,0,4,0.279946255,157.2409947,36.55515007,37.82814629,6.659661942,0,0,3.02756407,21.31911589,29.54163949,8.685735793,13.67422122,1.67594076,0,0,1.34607289,71.86437941
6.226766354,537.5436543,0,4,0.241684122,120.9960222,2.998441963,42.32920602,5.950732304,0,0.193347298,1.761477714,4.978692919,10.10598046,0,7.556175911,11.72683638,0,0,2.465178047,54.05837966
6.260566372,27.39343363,0,2,2.699557486,139.9295177,0,91.15558517,0.892446176,0,25.60074667,8.57553631,4.159965112,59.45460081,0,10.08964246,24.57902192,3.065653289,0,0,57.39819768
6.030488294,179.6048294,0,6,0.578314932,148.5320253,23.09895826,18.66130079,9.187020071,0,0,0.115662986,30.55659807,15.88388047,8.203515031,7.799322499,1.657051417,0,0,4.816360079,57.68554475
5.347034484,0.31337931,0,14,0,91.01288276,0,69.0651866,6,0,0,0.371390676,24.27074299,30.62734861,7.284844921,146.5270365,93.4778233,0,0,0,98.77770236
8.920493298,113.7682681,0,8,1.035560746,91.64276722,12.06283815,23.66709461,10.04280383,0,0,0.841293527,39.70133134,27.59822817,4.062514178,22.23762722,12.47915151,3.203968719,0,0.880226634,47.63393703
5.4625625,208.3495,0,13,11.2569423,29.01373597,1.767766953,0.515388203,10.31079531,0,0,2.165063509,3.400367627,5.358987778,2.25,8.090310563,1.653594569,2.087911636,2.165063509,0,0
6.228604879,409.0140293,0,5,1.158215617,126.9092435,56.92489703,5.374283843,11.3378279,0,0,51.51509369,50.10622862,11.68509578,57.93398261,16.23426067,0.855398923,0.592637758,2.316431233,0,58.25214327
8.05078261,466.2226803,0,4,0,154.1305621,27.96632063,34.49025957,9.81829807,0,0,1.201022582,17.73778893,21.01448776,0,15.98368734,0.252860869,0.214559562,0,0,48.43219745
8.291523596,169.6539416,0,2,0.410535414,139.9214306,27.91459688,119.5086758,5.723988552,0,0,2.314584924,25.41423117,52.4716724,6.81422834,8.447857251,19.73914152,0,0,0,111.6918111
8.295061946,185.4036195,0,4,0,150.466737,45.43250854,30.62320972,8.680157415,0,0,0.665190105,44.23021532,25.08952995,7.860650292,11.84766883,2.730522333,1.187136064,0,2.528597499,72.9776757
7.827906157,247.2615601,0,16,0.541530361,115.974135,0.593216789,85.2340404,2.813874298,0,51.77157703,17.61489306,19.47605493,20.55562513,2.532486868,7.8239425,57.22297797,3.451804747,39.54502983,0.920601614,42.13353301
6.660258064,82.10598239,0,4,1.180238059,140.0172696,14.56525412,49.51183987,6.737647544,0,0,2.017518583,18.22328117,26.30282703,35.68307056,8.324433175,36.98806973,0,0,0,54.49076437
